benchmark_id,solver_name,problem_name,problem_type,solve_time,status,objective_value,iterations,duality_gap,timestamp
22,CLARABEL (via CVXPY),SIMPLE_LP,LP,0.0036749839782714844,error,,,,
22,CLARABEL (via CVXPY),SIMPLE_QP,QP,0.0025818347930908203,error,,,,
22,ECOS (via CVXPY),SIMPLE_LP,LP,0.0016460418701171875,optimal,8.112984489499881e-12,7,,
22,ECOS (via CVXPY),SIMPLE_QP,QP,0.003849029541015625,optimal,3.677641468288498e-10,13,,
22,OSQP (via CVXPY),SIMPLE_LP,LP,0.0025811195373535156,optimal,7.772266847585254e-23,325,,
22,OSQP (via CVXPY),SIMPLE_QP,QP,0.002385854721069336,optimal,0.0,25,,
22,SCS (via CVXPY),SIMPLE_LP,LP,0.0017237663269042969,optimal,4.1243945965732264e-13,100,,
22,SCS (via CVXPY),SIMPLE_QP,QP,0.002371072769165039,optimal,3.344150269786235e-11,50,,
22,SciPy,SIMPLE_LP,LP,0.0008800029754638672,optimal,0.0,0,,
22,SciPy,SIMPLE_QP,QP,0.007455110549926758,optimal,5.135527253823579e-06,21,,
20,SciPy,SIMPLE_LP,LP,0.0009317398071289062,optimal,0.0,0,,
20,SciPy,SIMPLE_QP,QP,0.009168148040771484,optimal,5.135527253823579e-06,21,,
19,SciPy,SIMPLE_LP,LP,0.0034339427947998047,optimal,0.0,0,,
18,CLARABEL (via CVXPY),SIMPLE_LP,LP,0.008412837982177734,optimal,5.982995652060769e-10,6,,
18,CLARABEL (via CVXPY),SIMPLE_QP,QP,0.0032248497009277344,optimal,7.286774213686732e-10,13,,
18,ECOS (via CVXPY),SIMPLE_LP,LP,0.0020868778228759766,optimal,7.282221611127361e-10,6,,
18,ECOS (via CVXPY),SIMPLE_QP,QP,0.003609180450439453,optimal,3.677641468288498e-10,13,,
18,OSQP (via CVXPY),SIMPLE_LP,LP,0.00374603271484375,optimal,7.772266847585254e-23,300,,
18,OSQP (via CVXPY),SIMPLE_QP,QP,0.002650022506713867,optimal,0.0,25,,
18,SCS (via CVXPY),SIMPLE_LP,LP,0.0018768310546875,optimal,4.1243945965732264e-13,100,,
18,SCS (via CVXPY),SIMPLE_QP,QP,0.002535104751586914,optimal,7.793750593888364e-11,50,,
18,SciPy,SIMPLE_LP,LP,0.0010461807250976562,optimal,0.0,0,,
18,SciPy,SIMPLE_QP,QP,0.009441614151000977,optimal,5.135527253823579e-06,21,,
16,SciPy,SIMPLE_LP,LP,0.0010781288146972656,optimal,0.0,0,,
16,SciPy,SIMPLE_QP,QP,0.011575937271118164,optimal,5.135527253823579e-06,21,,
15,SciPy,SIMPLE_LP,LP,0.003726959228515625,optimal,0.0,0,,
14,CLARABEL (via CVXPY),SIMPLE_LP,LP,0.004748106002807617,optimal,5.982995652060769e-10,6,,
14,CLARABEL (via CVXPY),SIMPLE_QP,QP,0.00267791748046875,optimal,7.286774213686732e-10,13,,
14,ECOS (via CVXPY),SIMPLE_LP,LP,0.0016388893127441406,optimal,7.282221611127361e-10,6,,
14,ECOS (via CVXPY),SIMPLE_QP,QP,0.01923370361328125,optimal,3.677641468288498e-10,13,,
14,OSQP (via CVXPY),SIMPLE_LP,LP,0.004646778106689453,optimal,7.772266847585254e-23,300,,
14,OSQP (via CVXPY),SIMPLE_QP,QP,0.0025517940521240234,optimal,0.0,25,,
14,SCS (via CVXPY),SIMPLE_LP,LP,0.0017390251159667969,optimal,4.1243945965732264e-13,100,,
14,SCS (via CVXPY),SIMPLE_QP,QP,0.002335071563720703,optimal,7.793750593888364e-11,50,,
14,SciPy,SIMPLE_LP,LP,0.0009248256683349609,optimal,0.0,0,,
14,SciPy,SIMPLE_QP,QP,0.007464170455932617,optimal,5.135527253823579e-06,21,,
12,SciPy,SIMPLE_LP,LP,0.0010380744934082031,optimal,0.0,0,,
12,SciPy,SIMPLE_QP,QP,0.009667158126831055,optimal,5.135527253823579e-06,21,,
11,SciPy,SIMPLE_LP,LP,0.0018851757049560547,optimal,0.0,0,,
9,SciPy,SIMPLE_LP,LP,0.0013549327850341797,optimal,0.0,0,,
9,SciPy,SIMPLE_QP,QP,0.012629032135009766,optimal,5.135527253823579e-06,21,,
7,SciPy,SIMPLE_LP,LP,0.001413106918334961,optimal,0.0,0,,
7,SciPy,SIMPLE_QP,QP,0.015594959259033203,optimal,5.135527253823579e-06,21,,
6,SciPy,SIMPLE_LP,LP,0.005081892013549805,optimal,0.0,0,,
5,SciPy,SIMPLE_LP,LP,0.001455068588256836,optimal,0.0,0,,
5,SciPy,SIMPLE_QP,QP,0.013084888458251953,optimal,5.135527253823579e-06,21,,
3,SciPy,SIMPLE_LP,LP,0.0014960765838623047,optimal,0.0,0,,
3,SciPy,SIMPLE_QP,QP,0.016376018524169922,optimal,5.135527253823579e-06,21,,
2,SciPy,SIMPLE_LP,LP,0.007433891296386719,optimal,0.0,0,,
1,SciPy,SIMPLE_LP,LP,0.0017201900482177734,optimal,0.0,0,,
1,SciPy,SIMPLE_LP,LP,0.000982046127319336,optimal,0.0,0,,
1,SciPy,SIMPLE_LP,LP,0.0008921623229980469,optimal,0.0,0,,
1,SciPy,SIMPLE_LP,LP,0.0010750293731689453,optimal,0.0,0,,
